path	person	bird	cat	dog	horse	sheep	cow	elephant	bear	zebra	giraffe
dataset/000000262145.jpg	[387.0,71.1,145.0,322.0;494.31,91.04,11.7,16.16;282.37,86.79,32.16,97.02;526.17,44.14,90.5,188.0;491.51,81.19,40.46,85.34;477.88,87.8,13.7,33.4;308.98,76.76,49.89,148.73;71.97,104.59,59.49,144.89;352.59,136.15,28.15,30.84;52.18,98.34,21.89,33.75;40.18,94.65,13.95,22.55;3.3,121.27,83.24,124.52;153.18,61.92,106.78,117.82;26,64,613,126]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000262146.jpg	[220.99,263.96,143.49,210.95]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000524291.jpg	[1,0.96,133.07,204.86]	[]	[]	[279.7,148.88,348.54,272.82;1,231.78,285.83,109.94]	[]	[]	[]	[]	[]	[]	[]
dataset/000000262148.jpg	[250.9,67.1,155.42,277.23;225.56,251.36,29.17,96.54;203.38,246.99,30.5,101.26;149.14,252.35,21.37,95.75;170.28,255.42,33.37,92.05;420.26,254.19,28.85,88.67;451.83,251.07,28.78,91.99;390.44,257.61,25.39,87.59;294.35,251.15,31.64,93.84;320.54,251.69,20.35,82.46;477.28,262.55,14.37,79.0;357.55,305.37,31.94,44.01;253.52,245.37,18.78,100.16;378,247,106,105]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393223.jpg	[2.16,1.98,566.29,478.02]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393224.jpg	[1.44,37.39,424.27,602.61;68.42,124.92,69.7,104.07;3.51,173.18,90.95,109.35;1,130.16,72.07,67.96;350.97,163.03,76.03,246.96]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000524297.jpg	[376.07,114.71,93.06,240.85;177.67,105.71,106.05,228.78;329.7,140.59,9.02,26.19]	[]	[]	[]	[]	[]	[]	[]	[276.45,202.62,103.87,147.49]	[]	[]
dataset/000000393227.jpg	[22.96,175.07,253.99,357.31]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000131084.jpg	[220.18,64.14,158.91,236.45]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393230.jpg	[354.5,134.39,103.85,160.87]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000262161.jpg	[505.91,9.62,23.08,33.66;483.26,13.8,11.89,23.15;30.84,14.22,15.68,34.07;59.28,12.0,12.73,20.27;1,79.83,37.51,67.33;590.04,4.37,16.23,46.19;1,14.37,14.68,37.74;49.04,13.61,11.99,24.18;385.5,13.14,13.99,20.98;8.69,14.39,20.21,37.31;494.3,13.12,6.66,22.56;565.34,16.96,7.35,19.27;338.8,7.05,34.79,36.79;24,1,615,126]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000131089.jpg	[150.57,109.27,141.91,317.73]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000524311.jpg	[270.88,154.67,215.62,319.64]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393241.jpg	[52.28,92.97,177.16,333.03;477.46,296.77,62.65,64.89;518.0,298.17,34.29,65.28;428.47,296.85,45.84,67.5;544.09,215.85,42.95,108.63;586.4,219.93,44.01,105.92;546.13,305.23,54.21,58.44;153.17,297.72,57.44,66.06;428.87,219.22,68.93,116.79;245.08,80.67,274.53,338.7;614.66,302.99,25.34,59.39;1,195.11,190.08,156.23;163.76,245.39,40.52,71.3]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000524314.jpg	[274.46,237.14,174.65,161.22;91.37,42.99,91.37,290.46]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393243.jpg	[23.01,0.3,456.84,639.7]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000262171.jpg	[399.78,221.53,18.64,62.56;384.36,235.25,22.41,56.58;259.68,268.53,74.99,48.66;461.84,237.92,38.64,63.03;514.29,234.19,47.55,68.41;442.73,225.88,24.85,74.54;136.91,252.82,36.63,22.12]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000131101.jpg	[198.47,171.15,256.0,460.22;61.26,253.03,13.62,43.53;47.13,244.72,16.98,50.57]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000524317.jpg	[1.12,43.82,347.19,449.44]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000262175.jpg	[108.68,185.24,333.88,454.48]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000524320.jpg	[1.32,98.29,307.03,481.72;237.3,359.31,205.67,271.82;312.79,94.41,167.21,224.87]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393251.jpg	[1.91,74.39,240.26,461.96;170.95,316.16,288.45,217.7;369.98,245.83,45.8,72.9;268.32,261.78,25.27,35.51;347.8,263.99,23.3,28.12;404.49,247.18,13.79,26.33;460.94,249.74,19.06,78.17;316.46,263.0,35.03,45.65;282.05,259.81,40.85,60.02]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000131108.jpg	[609.03,263.57,4.05,14.96]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000524325.jpg	[357.76,305.59,18.87,53.48;276.78,312.46,15.37,54.53;241.6,312.58,16.66,54.49;226.79,314.76,16.28,52.37;203.74,314.21,19.6,53.73;137.84,332.22,8.92,11.5;303.13,308.86,15.04,56.12;323.5,306.9,17.42,55.42;290.56,311.76,10.95,24.34;259.54,311.87,10.99,17.7;177.35,294.13,5.32,11.92;462.66,310.71,9.74,14.61;61.39,335.5,10.4,13.12;3,269,496,103]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000000036.jpg	[167.58,162.89,310.61,465.19]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000131115.jpg	[170.76,181.14,201.8,205.25;346.57,149.59,41.57,30.36;161.7,146.02,62.74,116.47;143.51,62.98,93.79,89.53;298.86,71.54,41.12,30.46;59.46,16.68,28.54,58.58;288.95,146.57,38.17,35.23;369.33,55.78,219.29,307.78;565.81,75.4,73.1,67.37;504.03,74.82,22.58,45.15;7.66,121.28,170.43,268.43;612.42,57.66,27.58,64.2;250.79,69.15,99.93,61.93;1,1,638,215]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000524333.jpg	[238.64,273.4,202.32,206.6;103.56,239.28,220.23,149.14;225.02,244.74,104.56,121.25;383.55,254.75,57.24,105.45;440.31,253.98,82.09,111.9;1.08,249.17,91.68,224.36;403.42,241.37,25.33,38.34;285.32,243.87,32.52,48.79;560.52,245.23,79.48,234.5;445.48,266.25,145.62,204.94;493.94,238.95,32.49,35.4;229.75,249.17,29.13,46.38;311.88,241.75,47.43,106.93]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000262191.jpg	[389.28,243.81,41.77,100.05;341.62,249.89,26.85,22.16]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000000049.jpg	[203.39,260.43,65.69,73.04;118.43,261.32,56.91,62.93;119.34,334.21,11.94,33.57;284.34,333.4,10.88,27.43;191.0,334.37,7.16,23.41;346.76,333.4,14.8,9.22]	[]	[]	[]	[162.57,226.56,130.41,184.43;81.7,244.94,83.71,158.2]	[]	[]	[]	[]	[]	[]
dataset/000000524338.jpg	[224.36,58.07,121.89,380.76;616.6,155.6,10.14,19.46;591.94,155.8,8.96,18.41]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393267.jpg	[226.93,518.33,177.08,121.67;288.01,475.76,136.99,164.24;202.14,405.53,222.32,134.35;297.62,410.13,67.79,54.07;235.58,261.85,176.75,252.28;297.32,233.6,87.8,162.37;296.45,158.5,112.93,258.52;16.2,174.49,158.79,362.94;261.75,1.44,96.36,142.38;287.0,110.36,110.18,130.21;366.11,34.48,58.89,112.48;214.29,83.42,70.47,169.7;273.34,128.13,33.96,134.5]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393268.jpg	[153.17,1,143.46,469.21;432.53,120.51,91.6,337.86;386.16,278.29,72.27,186.61;294.06,287.97,69.01,111.45;515.53,277.65,49.81,90.71]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000262197.jpg	[49.71,336.05,26.7,75.86;196.28,351.94,12.34,17.76;208.44,343.57,11.28,28.78;22.68,338.56,18.55,35.38;176.95,343.81,8.27,27.83;38.13,340.2,12.64,20.44;183.59,342.85,16.03,30.69]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000393271.jpg	[346.25,176.9,112.18,249.17;250.44,175.68,46.24,119.65;68.62,164.04,38.89,67.21;22.61,168.06,33.51,48.02;0.92,154.63,4.55,12.42;180.27,168.96,56.85,80.7;4.73,161.03,7.09,24.66;127.98,162.61,40.15,75.29]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000262200.jpg	[54.44,86.6,223.39,293.2;215.87,41.38,117.05,186.0;121.51,1,139.74,93.24;1,13.72,612.0,590.05;290.9,1,321.1,282.95]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
dataset/000000131127.jpg	[3.86,57.59,579.29,363.39;365.22,57.99,190.93,292.37;7.03,130.09,67.82,86.28;1,80.09,107.63,346.91]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
